data,gt_label,pred_label,is_correct
1,0,0,1
2,0,0,1
3,0,0,1
4,2,2,1
5,2,2,1
6,0,0,1
7,2,2,1
8,1,1,1
9,1,1,1
10,1,1,1
11,1,1,1
12,1,1,1
13,0,0,1
15,0,0,1
16,1,1,1
17,1,1,1
18,2,2,1
19,2,2,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,2,2,1
25,1,1,1
26,0,0,1
27,0,0,1
28,2,2,1
29,0,0,1
30,0,0,1
31,1,1,1
32,0,0,1
33,2,2,1
34,2,2,1
35,0,0,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,1,1,1
42,2,2,1
46,0,0,1
48,0,0,1
49,2,2,1
50,0,0,1
51,0,0,1
53,1,1,1
54,0,0,1
55,0,0,1
56,0,0,1
57,1,1,1
58,2,2,1
59,0,0,1
60,0,0,1
61,0,0,1
62,2,2,1
64,0,0,1
65,1,1,1
66,0,0,1
67,1,1,1
70,2,1,0
71,1,1,1
72,2,2,1
73,0,0,1
74,0,0,1
75,2,2,1
76,0,0,1
77,0,0,1
78,2,2,1
79,0,0,1
80,0,0,1
81,2,2,1
82,1,1,1
83,0,0,1
84,2,2,1
85,0,0,1
86,2,2,1
87,0,0,1
88,2,2,1
89,0,0,1
90,2,1,0
91,0,0,1
92,2,2,1
93,2,2,1
94,2,2,1
95,1,1,1
96,1,1,1
97,2,1,0
98,0,0,1
99,0,0,1
100,1,1,1
